Cód. CNUC;Nome da UC;Categoria;Coord. Regional;Ano/Criação; Área (hect) ; Perimetro (m) ;Ato legal;Grupo;UF;Municípios;Bioma;Fuso/abrangencia
0000.00.0001;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;APA;GR 5- SUL;1992; 4.436,59 ; 36.563,46 ;DEC  528 de 20/05/1992;US;SC;Governador Celso Ramos.;MATA ATLÂNTICA;22S
0000.00.1521;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;APA;GR 4- SUDESTE;1982; 292.599,92 ; 1.073.712,96 ;DEC  87.561 de 13/09/1982;US;MG/RJ/SP;Silveiras, Taubaté, Ubatuba, Parati, Areias, Arujá, Bananal, Cachoeira Paulista, Cunha, Guarulhos, Igaratá, Jacareí, Jambeiro, Lorena, Monteiro Lobato, Natividade da Serra, Nazaré Paulista, Paraibuna, Pindamonhangaba, Redenção da Serra, Salesópol;MATA ATLÂNTICA;23S
0000.00.0020;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA;APA;GR 4- SUDESTE;1996; 37.735,58 ; 137.567,40 ;"DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996";US;MG;Funilândia, Jaboticatubas, Prudente de Morais, Pedro Leopoldo, Confins, Vespasiano, Matozinhos, Baldin, Lagoa Santa, São José da Lapa.;CERRADO;23S
0000.00.0002;ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;APA;GR 4- SUDESTE;1989; 143.355,59 ; 225.638,81 ;DEC  98.182 de 26/09/1989;US;MG;Bonito de Minas, Cônego Marinho, Januária, Itacarambi, Miravânia, São João das Missões.;CERRADO;23S
0000.00.1912;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS;APA;GR 4- SUDESTE;2010; 115.001,92 ; 219.217,46 ;DEC S/N de 17/06/2010;US;ES;Aracruz, Fundão, Serra.;MARINHO COSTEIRO;24S
0000.00.3696;ÁREA DE PROTEÇÃO AMBIENTAL DA ARARINHA AZUL;REVIS;GR 2- NORDESTE;2018; 90.641,92 ; 271.274,25 ;DEC 9.402 de 05/06/2018;US;BA;Juazeiro, Curuçá.;CAATINGA;24S
0000.00.0003;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;APA;GR 3 - CENTRO-OESTE;1983; 41.783,61 ; 93.435,20 ;DEC  88.940 de 07/11/1983;US;GO/DF;Brasília, Águas Lindas de Goiás, Padre Bernardo.;CERRADO;22S
0000.00.0004;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;APA;GR 3 - CENTRO-OESTE;1983; 82.680,80 ; 176.700,71 ;DEC  88.940 de 07/11/1983;US;DF;Brasília.;CERRADO;23S
0000.00.0005;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO;APA;GR 4- SUDESTE;2002; 150.374,61 ; 369.887,78 ;DEC S/N de 27/06/2002;US;RJ;Silva Jardim, Cachoeiras de Macacu, Rio Bonito, Araruama, Casimiro de Abreu, Rio das Ostras, Cabo Frio, Macaé, Nova Friburgo.;MATA ATLÂNTICA;23S
0000.00.0006;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;APA;GR 5- SUL;2000; 154.867,40 ; 405.831,55 ;DEC S/N de 14/09/2000;US;SC;Florianópolis, Palhoça, Garopaba, Paulo Lopes, Imbituba, Laguna, Jaguaruna, Içara, Tubarão.;MATA ATLÂNTICA;22S
